"measure","dateTime","date","value","completeness","quality","qcode"
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-03-31T00:30:00","1996-03-31","0.533","Incomplete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-03-31T09:30:00","1996-03-31","0.536","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-02T08:45:00","1996-04-02","0.655","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-02T13:45:00","1996-04-02","0.68","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-03T09:00:00","1996-04-03","0.652","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-04T19:30:00","1996-04-04","0.405","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-05T18:30:00","1996-04-05","0.405","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-07T05:15:00","1996-04-07","0.274","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-08T00:45:00","1996-04-08","0.278","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-08T12:45:00","1996-04-08","0.284","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-09T21:00:00","1996-04-09","0.284","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-11T02:00:00","1996-04-11","0.293","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-11T09:00:00","1996-04-11","0.29","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-13T06:00:00","1996-04-13","0.293","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-14T03:45:00","1996-04-14","0.399","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-15T03:45:00","1996-04-15","0.271","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-16T00:15:00","1996-04-16","0.274","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-16T09:30:00","1996-04-16","0.268","Incomplete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-17T09:00:00","1996-04-17","","Incomplete","Missing",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-18T19:30:00","1996-04-18","0.293","Incomplete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-20T03:15:00","1996-04-20","0.293","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-21T06:00:00","1996-04-21","0.296","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-21T21:30:00","1996-04-21","0.309","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-23T07:30:00","1996-04-23","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-23T09:45:00","1996-04-23","0.331","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-24T15:15:00","1996-04-24","0.337","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-26T05:15:00","1996-04-26","0.408","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-26T10:00:00","1996-04-26","0.312","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-27T12:00:00","1996-04-27","0.299","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-28T14:15:00","1996-04-28","0.296","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-04-29T15:00:00","1996-04-29","0.302","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-01T01:45:00","1996-05-01","0.299","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-02T07:30:00","1996-05-02","0.315","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-03T02:15:00","1996-05-03","0.327","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-03T12:30:00","1996-05-03","0.34","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-04T09:15:00","1996-05-04","0.324","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-06T06:30:00","1996-05-06","0.321","Complete","Unchecked",""
"http://environment.data.gov.uk/hydrology/id/measures/237cc814-f333-4b88-90d2-d020b085fa5c-level-max-86400-m-qualified","1996-05-06T22:15:00","1996-05-06","0.321","Complete","Unchecked",""
